Window resized to 1280, 800
         25683851 function calls (25534927 primitive calls) in 24.489 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.011    0.002    0.370    0.053 __init__.py:778(create_texture)
    32521    0.011    0.000    0.028    0.000 sre_parse.py:247(get)
    25278    0.011    0.000    0.011    0.000 runlist.py:411(__init__)
     2813    0.011    0.000    0.218    0.000 sprite.py:184(__init__)
    17620    0.011    0.000    0.011    0.000 layout.py:280(__init__)
1330/1258    0.011    0.000    0.068    0.000 __init__.py:612(f)
    67930    0.010    0.000    0.010    0.000 message.py:20(name)
     5538    0.010    0.000    0.041    0.000 base.py:61(dispatch_posted_events)
8177/7998    0.010    0.000    0.078    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
    31574    0.010    0.000    0.056    0.000 {built-in method builtins.all}
     2488    0.010    0.000    0.010    0.000 vertexbuffer.py:257(set_data_region)
     1499    0.010    0.000    0.030    0.000 base.py:292(set_current)
     2741    0.010    0.000    0.027    0.000 sprite.py:248(delete)
      145    0.009    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:813(get_data)
     7181    0.009    0.000    0.010    0.000 __main__.py:127(m_collision)
    19968    0.009    0.000    0.594    0.000 world.py:116(post_message_private)
     5538    0.009    0.000    0.014    0.000 clock.py:402(get_sleep_time)
    12860    0.009    0.000    0.009    0.000 message.py:167(__init__)
    32077    0.009    0.000    0.010    0.000 sre_parse.py:165(append)
    52152    0.009    0.000    0.009    0.000 world.py:97(<lambda>)
     3154    0.008    0.000    0.009    0.000 image.py:14(__init__)
    10842    0.008    0.000    0.010    0.000 random.py:342(uniform)
     4579    0.008    0.000    0.008    0.000 base.py:180(_least_squares)
     3159    0.008    0.000    0.011    0.000 box.py:13(__init__)
      314    0.008    0.000    0.008    0.000 {built-in method winreg.OpenKey}
     3046    0.008    0.000    0.058    0.000 document.py:604(get_font_runs)
    17620    0.008    0.000    0.010    0.000 layout.py:262(add_list)
     1164    0.007    0.000    7.947    0.007 debug.py:73(display_menu)
     1553    0.007    0.000    0.014    0.000 gl_info.py:148(have_version)
     3159    0.007    0.000    0.012    0.000 image.py:41(m_new_entity)
      990    0.007    0.000    0.037    0.000 __init__.py:711(_event_mousemove)
    20594    0.007    0.000    0.007    0.000 layout.py:1060(<lambda>)
     5544    0.007    0.000    0.010    0.000 _weakrefset.py:26(__exit__)
    14617    0.007    0.000    0.007    0.000 runlist.py:356(__init__)
     5612    0.007    0.000    0.007    0.000 sprite.py:157(__eq__)
     1164    0.007    0.000    0.007    0.000 __init__.py:1144(clear)
     2521    0.007    0.000    0.007    0.000 vertexattribute.py:270(__init__)
     4656    0.007    0.000    0.010    0.000 __init__.py:175(m_camera_moved)
     5539    0.007    0.000    0.010    0.000 base.py:287(_get_has_exit)
     8264    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
